entity,spacy_label,wikidata_id,wikidata_label,wikidata_description,confidence,matched
Meta’s,ORG,,,,0.588,False
Wayve,GPE,Q125820744,Wayve,British autonomous driving technology startup,1.0,True
Waabi,PERSON,Q138641427,Waabi,,1.0,True
Cruise,PERSON,Q2063640,cruise,level flight after an aircraft climbs to a set altitude and before it begins to descend,1.0,True
Wayve,PERSON,Q125820744,Wayve,British autonomous driving technology startup,1.0,True
London,GPE,Q84,London,capital and largest city of England and the United Kingdom,1.0,True
"Deep Dive
Artificial",PERSON,,,,0.0,False
Backlash,GPE,Q798455,backlash,adverse reaction to something which has gained popularity,1.0,True
Trump,PERSON,Q16944413,Trump,family name,1.0,True
Jakub Pachocki,PERSON,Q123478068,Jakub Pachocki,computer scientist,1.0,True
Pokémon Go,PERSON,Q20966579,Pokémon Go,augmented reality mobile game based on the Pokémon franchise,1.0,True
"MIT Technology Review
Discover",ORG,,,,0.0,False
the past decade,DATE,Q50304503,The past decade,scientific article published in January 2006,1.0,True
Meta AI,ORG,Q112114913,Meta AI,artificial intelligence laboratory owned by Meta,1.0,True
Apple's Siri,ORG,,,,0.0,False
Amazon,ORG,Q3884,Amazon,American multinational technology company,1.0,True
Alexa,ORG,Q1752733,Alexa,female given name,1.0,True
Spotify,ORG,Q689141,Spotify,Swedish audio streaming service,1.0,True
Deezer,PERSON,Q602243,Deezer,French web-based music and podcast streaming service,1.0,True
Chinese,NORP,Q7850,Chinese,language group of the Sinitic languages,1.0,True
DeepSeek,PRODUCT,Q131577453,DeepSeek,Chinese artificial intelligence company,1.0,True
Gemini,PERSON,Q8923,Gemini,zodiac constellation in the northern hemisphere,1.0,True
Meta AI,PERSON,Q112114913,Meta AI,artificial intelligence laboratory owned by Meta,1.0,True
Apps like Midjourney or Veo 3,ORG,,,,0.0,False
The International Monetary Fund,ORG,Q59561286,The International Monetary Fund,Congressional Research Service report,1.0,True
Geoffrey Hinton,PERSON,Q92894,Geoffrey Hinton,British-Canadian computer scientist and psychologist,1.0,True
Yann LeCun,PERSON,Q3571662,Yann Le Cun,French computer scientist (born 1960),0.952,True
Apple,ORG,Q89,apple,edible fruit of the apple tree,1.0,True
January,DATE,Q108,January,first month in the Julian and Gregorian calendars,1.0,True
BBC,ORG,,,,0.6,False
Luigi Mangione,PERSON,Q131411648,Luigi Mangione,American suspect of the assassination of Brian Thompson,1.0,True
UnitedHealthcare,ORG,Q1470768,UnitedHealthcare,cycling team,1.0,True
Brian Thompson,PERSON,Q82330,Brian Thompson,American actor,1.0,True
Abba,PERSON,Q18233,ABBA,Swedish pop quartet,1.0,True
Björn Ulvaeus,PERSON,Q179682,Björn Ulvaeus,Swedish musician; member of ABBA,1.0,True
Ian Rankin,PERSON,Q318431,Ian Rankin,Scottish writer,1.0,True
Joanne Harris,PERSON,Q234718,Joanne Harris,British and French author,1.0,True
Julianne Moore -,PERSON,,,,0.0,False
October 2024,DATE,Q61313017,October 2024,month of 2024,1.0,True
Netherlands,GPE,Q55,Netherlands,one of the four autonomous countries of the Kingdom of the Netherlands; with territories in the Caribbean,1.0,True
February,DATE,Q109,February,second month in the Julian and Gregorian calendars,1.0,True
September 2024,DATE,Q61312994,September 2024,month of 2024,1.0,True
Chile,GPE,Q298,Chile,"country in South America and Oceania, with a claim in Antarctica",1.0,True
EU,ORG,Q211593,Eu,"commune in Seine-Maritime, France",1.0,True
Artificial Intelligence Act,ORG,Q108456694,Artificial Intelligence Act,European Union regulation on artificial intelligence,1.0,True
Keir Starmer,PERSON,Q6383803,Keir Starmer,Prime Minister of the United Kingdom since 2024,1.0,True
AI Safety Institutes,ORG,,,,0.0,False
February 2025,DATE,Q61312940,February 2025,month of 2025,1.0,True
Tech Decoded,GPE,,,,0.0,False
Microsoft,ORG,Q2283,Microsoft,American multinational technology corporation,1.0,True
Copilot,ORG,Q107214994,Copilot,2021 film directed by Anne Zohra Berrached,1.0,True
James Vincent,PERSON,Q65028253,James Vincent,badminton player,1.0,True
Bing,PERSON,Q14915263,Bing,family name,1.0,True
Bard,PERSON,Q111072624,Bard,male given name,1.0,True
Sora,PERSON,Q117382,Sora,"comune of Lazio, Italy",1.0,True
billion-dollar,MONEY,Q123786778,Billion dollar,song by seyi vibez,0.929,True
Tuesday,DATE,Q127,Tuesday,day of the week,1.0,True
the end of 2024,DATE,,,,0.0,False
only a few months ago,DATE,,,,0.0,False
The Wall Street Journal,ORG,Q164746,The Wall Street Journal,American business-focused daily newspaper,1.0,True
Sam Altman,PERSON,Q7407093,Sam Altman,American venture-capitalist in Silicon Valley (born 1985),1.0,True
API,ORG,,,,0.667,False
The Hollywood Reporter,ORG,Q61503,The Hollywood Reporter,American publication focusing on the Hollywood motion picture industry,1.0,True
$1 billion,MONEY,,,,0.455,False
Disney Plus,ORG,Q76301153,Disney+ app,app for the Disney+ streaming service,0.727,True
the same day,DATE,Q16517678,The Same Days Again,1984 studio album by Marián Varga,0.774,True
Sarah Friar,PERSON,Q107434318,Sarah Friar,"American businesswoman, CEO of Nextdoor",1.0,True
CNBC,ORG,Q1023912,CNBC,American basic cable and satellite business news television channel,1.0,True
an additional $10 billion,MONEY,,,,0.0,False
IPO,ORG,Q10536543,Ipo,genus of insects,1.0,True
$110 billion,MONEY,,,,0.0,False
Pixel,ORG,Q355198,pixel,physical point in a raster image,1.0,True
six-month-old,DATE,,,,0.406,False
Pixel,PERSON,Q355198,pixel,physical point in a raster image,1.0,True
"Gemini AI
Google",PERSON,,,,0.0,False
Personal Intelligence,ORG,,,,0.0,False
Gemini,ORG,Q8923,Gemini,zodiac constellation in the northern hemisphere,1.0,True
Google AI Pro,ORG,,,,0.0,False
"Search, Gemini",ORG,,,,0.0,False
Chrome,GPE,Q118289224,Chrome,2023 studio album by Ziak,1.0,True
YouTube,PRODUCT,Q866,YouTube,American video-sharing platform owned by Alphabet Inc.,1.0,True
Google Photos,GPE,Q20007086,Google Photos,photo storage service developed by Google,1.0,True
Gmail,PERSON,Q9334,Gmail,email service developed by Google,1.0,True
Allison Johnson,PERSON,Q101811139,Allison Johnson,Barbadian cricketer,1.0,True
earlier this year,DATE,,,,0.0,False
months,DATE,Q5151,month,irregular unit of time dividing a calendar year,0.909,True
Wired,GPE,Q520154,Wired,American technology magazine,1.0,True
Julia Angwin,PERSON,Q43030208,Julia Angwin,American investigative journalist and author,1.0,True
Wednesday,DATE,Q128,Wednesday,day of the week,1.0,True
Superhuman,PERSON,Q7643449,superhuman,humans with abilities exceeding those found in average humans,1.0,True
Angwin,PERSON,Q37216700,Angwin,family name,1.0,True
Casey Newton,ORG,Q78906087,Casey Newton,American technology journalist,1.0,True
this week,DATE,Q7786368,This Week,album by Jean Grae,1.0,True
Verge,ORG,Q37062653,Verge,family name,1.0,True
Grammarly’s AI-generated,ORG,,,,0.0,False
Nilay Patel,PERSON,Q7036921,Nilay Patel,American journalist and editor-in-chief at The Verge,1.0,True
Expert Review,ORG,,,,0.684,False
Ailian Gan,PERSON,Q14341710,Ailian Gangbei,,0.833,True
March 2026,DATE,Q60633772,March 2026,month of 2026,1.0,True
NBC News,ORG,Q2877626,NBC News,news division of NBC,1.0,True
Democrats,NORP,Q1185830,Democrats,political party in Brazil (2007–2022),1.0,True
Iran,GPE,Q794,Iran,country in Western Asia,1.0,True
the previous month,DATE,,,,0.0,False
Focus Features,ORG,Q649649,Focus Features,art house films division of NBCUniversal,1.0,True
doc,ORG,Q17018111,Doc,male given name,1.0,True
March 27th,DATE,Q2457,March 27,day of the year,0.889,True
Google’s Super Bowl,ORG,,,,0.0,False
The “New Home,ORG,,,,0.0,False
Gouda,ORG,Q84125,Gouda,"municipality in the province of South Holland, Netherlands",1.0,True
Super Bowl,EVENT,Q32096,Super Bowl,National Football League championship game,1.0,True
the last year,DATE,Q5274490,The Last Year,1951 film by E.W. Fiedler,1.0,True
the last few days,DATE,Q48461712,The last few days,"scientific article published on July 1, 1992",1.0,True
"Instagram
Instagram",ORG,,,,0.0,False
Adam Mosseri,PERSON,Q56877012,Adam Mosseri,American businessman,1.0,True
Sarah Jeong,PERSON,Q26923818,Sarah Jeong,American journalist,1.0,True
Mosseri,NORP,Q37493388,Mosseri,family name,1.0,True
Mosseri,ORG,Q37493388,Mosseri,family name,1.0,True
Instagram,ORG,Q209330,Instagram,photo and video sharing social network owned by Meta Platforms,1.0,True
Label AI-generated,PERSON,,,,0.0,False
Redfin’s AI,ORG,,,,0.0,False
LLM,ORG,,,,0.261,False
FedEx,GPE,Q459477,FedEx,American multinational delivery services company,1.0,True
Spotify,GPE,Q689141,Spotify,Swedish audio streaming service,1.0,True
Sony Music Group,ORG,Q121433363,Sony Music Group,American multinational company,1.0,True
Universal Music Group,ORG,Q38903,Universal Music Group,Dutch–American music corporation,1.0,True
Warner Music Group,ORG,Q21077,Warner Music Group,American multinational entertainment and record label conglomerate,1.0,True
Merlin,NORP,Q16279386,Merlin,male given name,1.0,True
Believe,PERSON,Q815612,Believe,2012 studio album by Justin Bieber,1.0,True
Two weeks ago,DATE,,,,0.0,False
Hallwood Media,PERSON,,,,0.0,False
Telisha,ORG,Q7697335,telisha,"two Hebrew cantilation marks, of similar shape",1.0,True
Nikki,ORG,Q1990345,Nikki,unisex given name,1.0,True
$3 million,MONEY,,,,0.465,False
Billboard,PERSON,Q485240,Billboard,American weekly music magazine,1.0,True
Jones,PERSON,Q59853,Jones,family name,1.0,True
Mississippi,GPE,Q1494,Mississippi,state of the United States of America,1.0,True
R&B,ORG,,,,0.5,False
Xania Monet,PERSON,Q136700389,Xania Monet,American AI-generated virtual singer created by Telisha “Nikki” Jones,1.0,True
Claude,ORG,Q17523984,Claude,unisex given name,1.0,True
Reuters,ORG,Q130879,Reuters,international news agency,1.0,True
Eddy Cue,PERSON,Q224628,Eddy Cue,American businessman,1.0,True
tens of billions of dollars,MONEY,,,,0.0,False
Safari,PERSON,Q35773,Safari,web browser developed by Apple,1.0,True
the White House’s,ORG,Q67082481,The White House School,"school in Shropshire, UK",0.821,True
Ben Davis,PERSON,Q4885514,Ben Davis,player of American football,1.0,True
ArtNet,ORG,Q266566,Artnet,art market website,1.0,True
Founders Museum,ORG,,,,0.0,False
American,NORP,Q846570,Americans,citizens and nationals of the United States of America,0.941,True
Africans,PERSON,Q14196,Afrikaans,"West Germanic language, spoken in South Africa and Namibia",0.824,True
WSJ,ORG,,,,0.333,False
Stein-Erik Soelberg,PERSON,,,,0.0,False
56-year-old,DATE,,,,0.415,False
earlier this month,DATE,,,,0.0,False
Journal,ORG,,,,0.609,False
Chatbot,PERSON,Q870780,chatbot,program or set of instructions that simulates conversation with humans,1.0,True
Old Greenwich[Wall Street Journal,ORG,,,,0.0,False
Alex Heath,PERSON,Q109500846,Alex Heath,Verge employee,1.0,True
Nick Turley,PERSON,Q134051514,Nick Turley,"German-American computer scientist, product manager and musician",1.0,True
Thursday,DATE,Q129,Thursday,day of the week,1.0,True
Nick,GPE,Q13137230,Nick,male given name,1.0,True
each week,DATE,,,,0.231,False
Decoder,PRODUCT,Q745243,decoder,device which reverses the operation of an encoder,1.0,True
Photos,GPE,,,,0.625,False
47-year-old,DATE,,,,0.468,False
Canadian,NORP,Q1196645,Canadians,citizens and nationals of Canada,0.941,True
Google Gemini,ORG,Q135267995,Google Gemini on Wear OS,smartwatch app developed by Google,0.703,True
U.S.,GPE,,,,0.286,False
the Stanford Institute for Human-Centered Artificial Intelligence,ORG,,,,0.0,False
This past year,DATE,,,,0.0,False
2021,DATE,Q49628,2021,year,1.0,True
GSM8K,ORG,Q121360456,GSM8K,grade school math question-answering dataset,1.0,True
AgentBench,ORG,,,,0.0,False
2019,DATE,Q25274,2019,year,1.0,True
UC Berkeley,ORG,,,,0.489,False
an estimated $191 million,MONEY,,,,0.0,False
an estimated $78 million,MONEY,,,,0.0,False
2017,DATE,Q25290,2017,year,1.0,True
Transformer,ORG,Q11658,transformer,electrical device that transfers energy through electromagnetic induction from one circuit to another circuit,1.0,True
around $900,MONEY,,,,0.0,False
AI Race,ORG,,,,0.0,False
Private Investment Drops,ORG,,,,0.0,False
$25.2 billion,MONEY,,,,0.0,False
$$ Race,MONEY,,,,0.0,False
$67.2 billion,MONEY,,,,0.0,False
2013,DATE,Q1998,2013,year,1.0,True
$335.2 billion,MONEY,,,,0.0,False
$103.7 billion,MONEY,,,,0.0,False
$22.3 billion,MONEY,,,,0.0,False
"Wealthier People Worry About Jobs
Globally",PERSON,,,,0.0,False
Gen X,PERSON,,,,0.588,False
Gen Z,ORG,Q28448286,Gen-Z,trade group of technology vendors,0.8,True
"the Commonwealth Worries About AI Products
When",ORG,,,,0.0,False
Aussies,ORG,,,,0.471,False
Brits,NORP,Q124208179,Brits,family name,1.0,True
Japan,GPE,Q17,Japan,island country in East Asia,1.0,True
the Copyright Office,ORG,,,,0.0,False
the Library of Congress,ORG,Q131454,Library of Congress,(de facto) national library of the United States of America,0.905,True
the Securities and Exchange Commission,ORG,Q16305093,"The Securities and Exchange Commission, Thailand",,0.884,True
the Executive Office,ORG,,,,0.494,False
the Commerce Department,ORG,,,,0.0,False
LinkedIn,GPE,Q213660,LinkedIn,American social networking website for people in professional occupations,1.0,True
"McKinsey, Studyportals",ORG,,,,0.0,False
the Schwartz Reisman Institute,ORG,,,,0.0,False
the International Federation of Robotics,ORG,,,,0.0,False
Each year,DATE,,,,0.346,False
a really big year,DATE,,,,0.0,False
the past three years,DATE,,,,0.0,False
IEEE Spectrum,ORG,Q2509689,IEEE Spectrum,journal,1.0,True
Spectrum,PERSON,Q104828631,Spectrum,2014 video game,1.0,True
Nestor Maslej,PERSON,,,,0.0,False
Maslej,PERSON,Q118078633,Maślej,family name,0.833,True
Foundation,ORG,Q157031,foundation,type of nonprofit organization,1.0,True
Shakespearean,NORP,Q1152184,Shakespearean comedy,theatrical genre,0.788,True
Epoch AI,PERSON,,,,0.0,False
Epoch,GPE,Q2703,epoch,moment in time used as a reference point for some time-varying astronomical quantity,1.0,True
Google’s 2017,ORG,,,,0.0,False
today,DATE,Q3530234,Today,album by Galaxie 500,1.0,True
930,MONEY,Q3710584,930,natural number,1.0,True
daily,DATE,Q65256591,Daily,female given name,1.0,True
Maslej,ORG,Q118078633,Maślej,family name,0.833,True
the most recent year,DATE,,,,0.0,False
the last few years,DATE,Q107536241,The Last Few Years,scientific article,1.0,True
AP,ORG,,,,0.571,False
North American,NORP,Q49,North America,continent in the Americas,0.963,True
CS,ORG,,,,0.444,False
the last five years,DATE,Q1218921,The Last Five Years,2001 musical,1.0,True
Chatter,PERSON,Q2636013,Chatteris,"civil parish and one of the four market towns in the Fenland district of Cambridgeshire, England",0.875,True
McKinsey,PERSON,Q6801999,McKinsey,family name,1.0,True
at least $500 million,MONEY,,,,0.0,False
recent years,DATE,Q84873779,Recent Years,scientific article published on 01 December 1902,1.0,True
A decade ago,DATE,,,,0.0,False
ImageNet,ORG,Q24901201,ImageNet,image dataset,1.0,True
five or six years,DATE,,,,0.0,False
a year,DATE,,,,0.6,False
ToxiGen,ORG,Q135369184,Toxigenesis,"wide, high-tech sans-serif typeface with a scientific-industrial aesthetic",0.778,True
BOLD,PERSON,Q16860189,Bold,family name,1.0,True
BBQ,ORG,Q110249420,BBQ,episode of Bluey (S1 E7),1.0,True
Between 2016 and 2023,DATE,,,,0.0,False
(ages 16 to 74,DATE,,,,0.0,False
the year before,DATE,Q61473393,The Year Before the War,2021 film directed by Dāvis Sīmanis Jr.,0.789,True
the next few years,DATE,,,,0.0,False
Western,NORP,Q21590660,Western,multimedia genre of stories set primarily in the American Old West,1.0,True
Indonesia,GPE,Q252,Indonesia,island country in Southeast Asia and Oceania,1.0,True
Thailand,GPE,Q869,Thailand,country in Southeast Asia,1.0,True
July 2024,DATE,Q61312808,July 2024,month of 2024,1.0,True
Humming - IEEE Spectrum,ORG,,,,0.0,False
ARIA Is Searching For Better AI Tech,ORG,,,,0.0,False
Foundation Model Decodes Whale,ORG,,,,0.0,False
Bird Calls - IEEE Spectrum,PERSON,,,,0.0,False
Columbia University,ORG,Q49088,Columbia University,"private university in New York City, New York, US",1.0,True
Android,ORG,Q94,Android,operating system created by Google for use on mobile devices,1.0,True
Skywater,PERSON,,,,0.593,False
the AI Benchmarks,ORG,,,,0.0,False
non-LLM,ORG,,,,0.0,False
Jaswant Singh Chail,PERSON,Q138454321,Jaswant Singh Chail,British man convicted of treason,1.0,True
21-year-old,DATE,,,,0.533,False
Chail,PERSON,Q2552715,Chailey,"village and civil parish in East Sussex, UK",0.833,True
nine-year,DATE,Q56042008,nine-year-old,,0.818,True
Christmas Day 2021,DATE,,,,0.0,False
Sarai,PERSON,Q20001080,Sarai,female given name,1.0,True
Replika,PERSON,Q52047634,Replika,,1.0,True
Sarai,GPE,Q20001080,Sarai,female given name,1.0,True
December 2021,DATE,Q61312898,December 2021,month of 2021,1.0,True
Sikh Sith,PERSON,,,,0.0,False
Cardiff University,ORG,Q1035745,Cardiff University,"public research university in Cardiff, United Kingdom",1.0,True
the University of Surrey,ORG,,,,0.0,False
Valentina Pitardi,PERSON,,,,0.0,False
Pitardi,PERSON,Q10350101,Pitardia,genus of plants,0.933,True
Marjorie Wallace,PERSON,Q6766345,Marjorie Wallace,British journalist,1.0,True
SANE,ORG,Q18681630,Sane,,1.0,True
Paul Marsden,PERSON,Q3330215,Paul Marsden,British politician (born 1968),1.0,True
the British Psychological Society,ORG,Q77525520,THE BRITISH PSYCHOLOGICAL SOCIETY,scientific article published on 01 February 2001,1.0,True
GPT,ORG,Q95726718,GPT-1,generative pre-trained transformer-based language model from 2018,0.75,True
Dr Marsden,PERSON,,,,0.0,False
King Cnut,PERSON,,,,0.0,False
Pew Research Center,ORG,Q1635722,Pew Research Center,"think tank based in Washington, D.C., US",1.0,True
Americans,NORP,Q846570,Americans,citizens and nationals of the United States of America,1.0,True
"Dec. 12-18, 2022",DATE,,,,0.0,False
the Center’s American Trends Panel,ORG,,,,0.0,False
ATP,ORG,,,,0.6,False
The Pew Research Center,ORG,,,,0.0,False
November 2021,DATE,Q61312917,November 2021,month of 2021,1.0,True
COVID-19,ORG,Q84263196,COVID-19,contagious disease caused by SARS-CoV-2,1.0,True
ages 18 to 29,DATE,,,,0.0,False
Republicans,NORP,Q926973,Republicans,Brazilian political party,1.0,True
About a quarter,DATE,Q25379692,About a Quarter to Nine,1935 song written by Harry Warren and Al Dubin; for the musical film Go Into Your Dance,0.789,True
each day,DATE,Q81080261,Each Day,Band,1.0,True
ML,ORG,Q860654,ML,functional programming language,1.0,True
the Think Newsletter,ORG,,,,0.0,False
more than 70 years,DATE,Q104904534,defunct more than 70 years ago,heuristic for determination of copyright status of an organization that became defunct more than 70 years ago,0.75,True
KNN,ORG,,,,0.353,False
Deep,NORP,Q16275349,Deep,male given name,1.0,True
NLP,ORG,,,,0.25,False
the last decade,DATE,,,,0.385,False
weeks,DATE,Q7979526,Weeks,family name,1.0,True
millions of dollars,MONEY,,,,0.551,False
Meta,ORG,Q380,Meta,American multinational technology corporation,1.0,True
Next,ORG,Q308993,NeXT,American computer company founded by Steve Jobs (1985–1997),1.0,True
