relation,norm,symmetry_score,potential_inverse,inverse_similarity
http://example.org/ai-news/stand,1.1133,-1.0,http://example.org/ai-news/coin,0.1519
http://example.org/ai-news/star,0.9909,-1.0,http://example.org/ai-news/show,0.1772
http://example.org/ai-news/start,1.0166,-1.0,http://example.org/ai-news/pioneer,0.1628
http://example.org/ai-news/stay,1.0592,-1.0,http://www.wikidata.org/prop/direct/P106,0.1767
http://example.org/ai-news/steer,1.0945,-1.0,http://example.org/ai-news/enter,0.2117
http://example.org/ai-news/sue,0.9781,-1.0,http://example.org/ai-news/win,0.2405
http://example.org/ai-news/switch,1.0099,-1.0,http://example.org/ai-news/outperform,0.17
http://example.org/ai-news/take,1.0382,-1.0,http://example.org/ai-news/join,0.1655
http://example.org/ai-news/tap,1.1186,-1.0,http://example.org/ai-news/have,0.213
http://example.org/ai-news/tell,1.0263,-1.0,http://example.org/ai-news/coin,0.2489
http://example.org/ai-news/test,1.0271,-1.0,http://example.org/ai-news/let,0.1959
http://example.org/ai-news/think,1.1711,-1.0,http://www.wikidata.org/prop/direct/P2283,0.1641
http://example.org/ai-news/throw,1.0643,-1.0,http://www.wikidata.org/prop/direct/P166,0.1798
http://example.org/ai-news/update,1.0623,-1.0,http://example.org/ai-news/mention,0.2072
http://example.org/ai-news/upgrade,1.055,-1.0,http://example.org/ai-news/create,0.1641
http://example.org/ai-news/urge,1.0208,-1.0,http://example.org/ai-news/star,0.1399
http://example.org/ai-news/use,1.1005,-1.0,http://www.wikidata.org/prop/direct/P36,0.1609
http://example.org/ai-news/warn,1.1185,-1.0,http://example.org/ai-news/anticipate,0.2178
http://example.org/ai-news/win,0.9961,-1.0,http://example.org/ai-news/sue,0.2405
http://example.org/ai-news/write,1.0344,-1.0,http://example.org/ai-news/have,0.1632
http://example.org/ai-news/writer,0.9901,-1.0,http://example.org/ai-news/guide,0.1644
http://www.wikidata.org/prop/direct/P101,1.3521,-1.0,http://example.org/ai-news/achieve,0.1534
http://www.wikidata.org/prop/direct/P1056,1.5345,-1.0,http://www.wikidata.org/prop/direct/P178,0.1999
http://www.wikidata.org/prop/direct/P106,1.4102,-1.0,http://example.org/ai-news/mention,0.1877
http://www.wikidata.org/prop/direct/P108,1.0706,-1.0,http://www.wikidata.org/prop/direct/P17,0.2494
http://www.wikidata.org/prop/direct/P112,0.7317,-1.0,http://www.wikidata.org/prop/direct/P361,0.173
http://www.wikidata.org/prop/direct/P127,1.3938,-1.0,http://www.wikidata.org/prop/direct/P178,0.216
http://www.wikidata.org/prop/direct/P131,1.2903,-1.0,http://example.org/ai-news/put,0.1517
http://www.wikidata.org/prop/direct/P137,1.3653,-1.0,http://example.org/ai-news/cheer,0.2165
http://www.wikidata.org/prop/direct/P1376,1.3066,-1.0,http://example.org/ai-news/cheer,0.1539
http://www.wikidata.org/prop/direct/P1454,1.5067,-1.0,http://www.wikidata.org/prop/direct/P178,0.2663
http://www.wikidata.org/prop/direct/P150,1.4054,-1.0,http://www.wikidata.org/prop/direct/P159,0.1954
http://www.wikidata.org/prop/direct/P159,1.8292,-1.0,http://www.wikidata.org/prop/direct/P150,0.1954
http://www.wikidata.org/prop/direct/P166,1.1646,-1.0,http://example.org/ai-news/throw,0.1798
http://www.wikidata.org/prop/direct/P169,1.4472,-1.0,http://www.wikidata.org/prop/direct/P178,0.2403
http://www.wikidata.org/prop/direct/P17,4.4448,-1.0,http://www.wikidata.org/prop/direct/P108,0.2494
http://www.wikidata.org/prop/direct/P176,1.0461,-1.0,http://example.org/ai-news/be,0.1417
http://www.wikidata.org/prop/direct/P178,1.0393,-1.0,http://www.wikidata.org/prop/direct/P1454,0.2663
http://www.wikidata.org/prop/direct/P1830,1.5165,-1.0,http://www.wikidata.org/prop/direct/P178,0.22
http://www.wikidata.org/prop/direct/P19,1.2961,-1.0,http://example.org/ai-news/win,0.1516
http://www.wikidata.org/prop/direct/P2283,1.3775,-1.0,http://www.wikidata.org/prop/direct/P108,0.2091
http://www.wikidata.org/prop/direct/P27,1.0427,-1.0,http://example.org/ai-news/create,0.142
http://www.wikidata.org/prop/direct/P279,1.0391,-1.0,http://www.wikidata.org/prop/direct/P108,0.1662
http://www.wikidata.org/prop/direct/P31,3.4193,-1.0,http://www.wikidata.org/prop/direct/P17,0.2023
http://www.wikidata.org/prop/direct/P35,1.2596,-1.0,http://example.org/ai-news/ask,0.1955
http://www.wikidata.org/prop/direct/P355,1.5308,-1.0,http://www.wikidata.org/prop/direct/P178,0.2533
http://www.wikidata.org/prop/direct/P36,1.4083,-1.0,http://example.org/ai-news/expect,0.168
http://www.wikidata.org/prop/direct/P361,1.305,-1.0,http://www.wikidata.org/prop/direct/P112,0.173
http://www.wikidata.org/prop/direct/P37,1.3911,-1.0,http://example.org/ai-news/hear,0.1711
http://www.wikidata.org/prop/direct/P38,1.4043,-1.0,http://example.org/ai-news/cheer,0.1521
http://www.wikidata.org/prop/direct/P39,1.5343,-1.0,http://example.org/ai-news/star,0.1572
http://www.wikidata.org/prop/direct/P452,1.109,-1.0,http://www.wikidata.org/prop/direct/P17,0.2004
http://www.wikidata.org/prop/direct/P463,1.3545,-1.0,http://example.org/ai-news/update,0.137
http://www.wikidata.org/prop/direct/P47,1.472,-1.0,http://example.org/ai-news/beat,0.1716
http://www.wikidata.org/prop/direct/P527,1.3115,-1.0,http://example.org/ai-news/pioneer,0.1175
http://www.wikidata.org/prop/direct/P530,1.5473,-1.0,http://example.org/ai-news/create,0.1904
http://www.wikidata.org/prop/direct/P6,1.388,-1.0,http://example.org/ai-news/hear,0.1609
http://www.wikidata.org/prop/direct/P69,1.4424,-1.0,http://www.wikidata.org/prop/direct/P131,0.1251
http://www.wikidata.org/prop/direct/P749,1.2448,-1.0,http://example.org/ai-news/spotify,0.1715
http://www.wikidata.org/prop/direct/P800,1.53,-1.0,http://example.org/ai-news/collaborate,0.1815
http://www.wikidata.org/prop/direct/P910,1.222,-1.0,http://example.org/ai-news/cheer,0.2042
