relation_1,relation_2,composed_closest,cosine_similarity
http://example.org/ai-news/achieve,http://example.org/ai-news/incentivize,http://example.org/ai-news/incentivize,0.7178
http://example.org/ai-news/allege,http://example.org/ai-news/announce,http://example.org/ai-news/announce,0.7742
http://example.org/ai-news/allege,http://example.org/ai-news/anticipate,http://example.org/ai-news/anticipate,0.7216
http://example.org/ai-news/allege,http://example.org/ai-news/appear,http://example.org/ai-news/appear,0.75
http://example.org/ai-news/allege,http://example.org/ai-news/ask,http://example.org/ai-news/ask,0.7475
http://example.org/ai-news/allege,http://example.org/ai-news/attract,http://example.org/ai-news/attract,0.7637
http://example.org/ai-news/allege,http://example.org/ai-news/be,http://example.org/ai-news/be,0.7281
http://example.org/ai-news/allege,http://example.org/ai-news/beat,http://example.org/ai-news/beat,0.7668
http://example.org/ai-news/allege,http://example.org/ai-news/become,http://example.org/ai-news/become,0.7112
http://example.org/ai-news/allege,http://example.org/ai-news/believe,http://example.org/ai-news/believe,0.7678
http://example.org/ai-news/allege,http://example.org/ai-news/build,http://example.org/ai-news/build,0.7352
http://example.org/ai-news/allege,http://example.org/ai-news/call,http://example.org/ai-news/call,0.7456
http://example.org/ai-news/allege,http://example.org/ai-news/carry,http://example.org/ai-news/carry,0.7201
http://example.org/ai-news/allege,http://example.org/ai-news/chat,http://example.org/ai-news/chat,0.7581
http://example.org/ai-news/allege,http://example.org/ai-news/cite,http://example.org/ai-news/cite,0.7139
http://example.org/ai-news/allege,http://example.org/ai-news/coin,http://example.org/ai-news/coin,0.7007
http://example.org/ai-news/allege,http://example.org/ai-news/collaborate,http://example.org/ai-news/collaborate,0.7053
http://example.org/ai-news/allege,http://example.org/ai-news/come,http://example.org/ai-news/come,0.7417
http://example.org/ai-news/allege,http://example.org/ai-news/complain,http://example.org/ai-news/complain,0.7184
http://example.org/ai-news/allege,http://example.org/ai-news/conduct,http://example.org/ai-news/conduct,0.7214
http://example.org/ai-news/allege,http://example.org/ai-news/consider,http://example.org/ai-news/allege,0.7526
http://example.org/ai-news/allege,http://example.org/ai-news/cost,http://example.org/ai-news/cost,0.7397
http://example.org/ai-news/allege,http://example.org/ai-news/create,http://example.org/ai-news/create,0.743
http://example.org/ai-news/allege,http://example.org/ai-news/dig,http://example.org/ai-news/dig,0.7072
http://example.org/ai-news/allege,http://example.org/ai-news/discuss,http://example.org/ai-news/discuss,0.7208
http://example.org/ai-news/allege,http://example.org/ai-news/drop,http://example.org/ai-news/drop,0.7887
http://example.org/ai-news/allege,http://example.org/ai-news/enable,http://example.org/ai-news/enable,0.7387
http://example.org/ai-news/allege,http://example.org/ai-news/enter,http://example.org/ai-news/enter,0.7384
http://example.org/ai-news/allege,http://example.org/ai-news/expect,http://example.org/ai-news/expect,0.7685
http://example.org/ai-news/allege,http://example.org/ai-news/explain,http://example.org/ai-news/explain,0.7335
http://example.org/ai-news/allege,http://example.org/ai-news/explore,http://example.org/ai-news/explore,0.7517
http://example.org/ai-news/allege,http://example.org/ai-news/feature,http://example.org/ai-news/feature,0.7782
http://example.org/ai-news/allege,http://example.org/ai-news/find,http://example.org/ai-news/find,0.7706
http://example.org/ai-news/allege,http://example.org/ai-news/flood,http://example.org/ai-news/flood,0.733
http://example.org/ai-news/allege,http://example.org/ai-news/generate,http://example.org/ai-news/generate,0.7322
http://example.org/ai-news/allege,http://example.org/ai-news/get,http://example.org/ai-news/get,0.751
http://example.org/ai-news/allege,http://example.org/ai-news/give,http://example.org/ai-news/give,0.7521
http://example.org/ai-news/allege,http://example.org/ai-news/go,http://example.org/ai-news/go,0.7128
http://example.org/ai-news/allege,http://example.org/ai-news/guide,http://example.org/ai-news/guide,0.7325
http://example.org/ai-news/allege,http://example.org/ai-news/halt,http://example.org/ai-news/halt,0.7362
http://example.org/ai-news/allege,http://example.org/ai-news/have,http://example.org/ai-news/have,0.7804
http://example.org/ai-news/allege,http://example.org/ai-news/hear,http://example.org/ai-news/hear,0.709
http://example.org/ai-news/allege,http://example.org/ai-news/incentivize,http://example.org/ai-news/incentivize,0.7566
http://example.org/ai-news/analyze,http://example.org/ai-news/announce,http://example.org/ai-news/announce,0.7212
http://example.org/ai-news/analyze,http://example.org/ai-news/anticipate,http://example.org/ai-news/anticipate,0.7482
http://example.org/ai-news/analyze,http://example.org/ai-news/ask,http://example.org/ai-news/ask,0.7529
http://example.org/ai-news/analyze,http://example.org/ai-news/attract,http://example.org/ai-news/attract,0.772
http://example.org/ai-news/analyze,http://example.org/ai-news/be,http://example.org/ai-news/be,0.7409
http://example.org/ai-news/analyze,http://example.org/ai-news/beat,http://example.org/ai-news/beat,0.7303
http://example.org/ai-news/analyze,http://example.org/ai-news/become,http://example.org/ai-news/become,0.7477
http://example.org/ai-news/analyze,http://example.org/ai-news/believe,http://example.org/ai-news/believe,0.7757
http://example.org/ai-news/analyze,http://example.org/ai-news/build,http://example.org/ai-news/build,0.7126
http://example.org/ai-news/analyze,http://example.org/ai-news/call,http://example.org/ai-news/call,0.7567
http://example.org/ai-news/analyze,http://example.org/ai-news/carry,http://example.org/ai-news/carry,0.7278
http://example.org/ai-news/analyze,http://example.org/ai-news/cite,http://example.org/ai-news/cite,0.7354
http://example.org/ai-news/analyze,http://example.org/ai-news/coin,http://example.org/ai-news/coin,0.7268
http://example.org/ai-news/analyze,http://example.org/ai-news/collaborate,http://example.org/ai-news/collaborate,0.7135
http://example.org/ai-news/analyze,http://example.org/ai-news/come,http://example.org/ai-news/come,0.7169
http://example.org/ai-news/analyze,http://example.org/ai-news/complain,http://example.org/ai-news/complain,0.7116
http://example.org/ai-news/analyze,http://example.org/ai-news/conduct,http://example.org/ai-news/conduct,0.7136
http://example.org/ai-news/analyze,http://example.org/ai-news/consider,http://example.org/ai-news/analyze,0.7399
http://example.org/ai-news/analyze,http://example.org/ai-news/cost,http://example.org/ai-news/cost,0.7413
http://example.org/ai-news/analyze,http://example.org/ai-news/create,http://example.org/ai-news/create,0.7463
http://example.org/ai-news/analyze,http://example.org/ai-news/develop,http://example.org/ai-news/develop,0.727
http://example.org/ai-news/analyze,http://example.org/ai-news/dig,http://example.org/ai-news/dig,0.7268
http://example.org/ai-news/analyze,http://example.org/ai-news/do,http://example.org/ai-news/do,0.7311
http://example.org/ai-news/analyze,http://example.org/ai-news/expect,http://example.org/ai-news/expect,0.7214
http://example.org/ai-news/analyze,http://example.org/ai-news/explain,http://example.org/ai-news/explain,0.7363
http://example.org/ai-news/analyze,http://example.org/ai-news/find,http://example.org/ai-news/find,0.7548
http://example.org/ai-news/analyze,http://example.org/ai-news/flood,http://example.org/ai-news/flood,0.7146
http://example.org/ai-news/analyze,http://example.org/ai-news/generate,http://example.org/ai-news/generate,0.7163
http://example.org/ai-news/analyze,http://example.org/ai-news/get,http://example.org/ai-news/get,0.7342
http://example.org/ai-news/analyze,http://example.org/ai-news/give,http://example.org/ai-news/give,0.7847
http://example.org/ai-news/analyze,http://example.org/ai-news/go,http://example.org/ai-news/go,0.7542
http://example.org/ai-news/analyze,http://example.org/ai-news/guide,http://example.org/ai-news/analyze,0.71
http://example.org/ai-news/analyze,http://example.org/ai-news/have,http://example.org/ai-news/have,0.7431
http://example.org/ai-news/analyze,http://example.org/ai-news/hear,http://example.org/ai-news/hear,0.7255
http://example.org/ai-news/analyze,http://example.org/ai-news/incentivize,http://example.org/ai-news/incentivize,0.7318
http://example.org/ai-news/announce,http://example.org/ai-news/anticipate,http://example.org/ai-news/announce,0.7074
http://example.org/ai-news/announce,http://example.org/ai-news/appear,http://example.org/ai-news/announce,0.7581
http://example.org/ai-news/announce,http://example.org/ai-news/ask,http://example.org/ai-news/announce,0.7683
http://example.org/ai-news/announce,http://example.org/ai-news/attract,http://example.org/ai-news/announce,0.7106
http://example.org/ai-news/announce,http://example.org/ai-news/be,http://example.org/ai-news/announce,0.7092
http://example.org/ai-news/announce,http://example.org/ai-news/beat,http://example.org/ai-news/announce,0.7327
http://example.org/ai-news/announce,http://example.org/ai-news/become,http://example.org/ai-news/announce,0.7179
http://example.org/ai-news/announce,http://example.org/ai-news/believe,http://example.org/ai-news/believe,0.7301
http://example.org/ai-news/announce,http://example.org/ai-news/build,http://example.org/ai-news/announce,0.7419
http://example.org/ai-news/announce,http://example.org/ai-news/call,http://example.org/ai-news/call,0.7217
http://example.org/ai-news/announce,http://example.org/ai-news/carry,http://example.org/ai-news/announce,0.7481
http://example.org/ai-news/announce,http://example.org/ai-news/chat,http://example.org/ai-news/announce,0.7784
http://example.org/ai-news/announce,http://example.org/ai-news/cheer,http://example.org/ai-news/announce,0.7315
http://example.org/ai-news/announce,http://example.org/ai-news/cite,http://example.org/ai-news/announce,0.7712
http://example.org/ai-news/announce,http://example.org/ai-news/coin,http://example.org/ai-news/announce,0.7421
http://example.org/ai-news/announce,http://example.org/ai-news/collaborate,http://example.org/ai-news/announce,0.7466
http://example.org/ai-news/announce,http://example.org/ai-news/come,http://example.org/ai-news/announce,0.7253
http://example.org/ai-news/announce,http://example.org/ai-news/complain,http://example.org/ai-news/announce,0.7029
http://example.org/ai-news/announce,http://example.org/ai-news/conduct,http://example.org/ai-news/announce,0.7005
http://example.org/ai-news/announce,http://example.org/ai-news/consider,http://example.org/ai-news/announce,0.8027
http://example.org/ai-news/announce,http://example.org/ai-news/cost,http://example.org/ai-news/announce,0.7582
http://example.org/ai-news/announce,http://example.org/ai-news/create,http://example.org/ai-news/create,0.7577
http://example.org/ai-news/announce,http://example.org/ai-news/develop,http://example.org/ai-news/announce,0.7686
http://example.org/ai-news/announce,http://example.org/ai-news/dig,http://example.org/ai-news/announce,0.7365
http://example.org/ai-news/announce,http://example.org/ai-news/discuss,http://example.org/ai-news/announce,0.7408
http://example.org/ai-news/announce,http://example.org/ai-news/do,http://example.org/ai-news/announce,0.7577
http://example.org/ai-news/announce,http://example.org/ai-news/drop,http://example.org/ai-news/announce,0.7372
http://example.org/ai-news/announce,http://example.org/ai-news/enable,http://example.org/ai-news/announce,0.7372
http://example.org/ai-news/announce,http://example.org/ai-news/enter,http://example.org/ai-news/announce,0.7398
http://example.org/ai-news/announce,http://example.org/ai-news/expect,http://example.org/ai-news/announce,0.7111
http://example.org/ai-news/announce,http://example.org/ai-news/explain,http://example.org/ai-news/announce,0.7231
http://example.org/ai-news/announce,http://example.org/ai-news/explore,http://example.org/ai-news/announce,0.7437
http://example.org/ai-news/announce,http://example.org/ai-news/express,http://example.org/ai-news/announce,0.7222
http://example.org/ai-news/announce,http://example.org/ai-news/feature,http://example.org/ai-news/announce,0.7313
http://example.org/ai-news/announce,http://example.org/ai-news/find,http://example.org/ai-news/announce,0.7146
http://example.org/ai-news/announce,http://example.org/ai-news/flood,http://example.org/ai-news/announce,0.7318
http://example.org/ai-news/announce,http://example.org/ai-news/generate,http://example.org/ai-news/announce,0.7516
http://example.org/ai-news/announce,http://example.org/ai-news/get,http://example.org/ai-news/announce,0.7433
http://example.org/ai-news/announce,http://example.org/ai-news/go,http://example.org/ai-news/announce,0.7323
http://example.org/ai-news/announce,http://example.org/ai-news/guide,http://example.org/ai-news/announce,0.7736
http://example.org/ai-news/announce,http://example.org/ai-news/halt,http://example.org/ai-news/announce,0.7458
http://example.org/ai-news/announce,http://example.org/ai-news/have,http://example.org/ai-news/have,0.7207
http://example.org/ai-news/announce,http://example.org/ai-news/hear,http://example.org/ai-news/announce,0.7155
http://example.org/ai-news/announce,http://example.org/ai-news/incentivize,http://example.org/ai-news/announce,0.7412
http://example.org/ai-news/anticipate,http://example.org/ai-news/appear,http://example.org/ai-news/anticipate,0.7201
http://example.org/ai-news/anticipate,http://example.org/ai-news/attract,http://example.org/ai-news/attract,0.743
http://example.org/ai-news/anticipate,http://example.org/ai-news/be,http://example.org/ai-news/be,0.7151
http://example.org/ai-news/anticipate,http://example.org/ai-news/beat,http://example.org/ai-news/beat,0.7177
http://example.org/ai-news/anticipate,http://example.org/ai-news/become,http://example.org/ai-news/become,0.7131
http://example.org/ai-news/anticipate,http://example.org/ai-news/believe,http://example.org/ai-news/believe,0.7163
http://example.org/ai-news/anticipate,http://example.org/ai-news/build,http://example.org/ai-news/anticipate,0.7299
http://example.org/ai-news/anticipate,http://example.org/ai-news/call,http://example.org/ai-news/call,0.7061
http://example.org/ai-news/anticipate,http://example.org/ai-news/chat,http://example.org/ai-news/anticipate,0.7283
http://example.org/ai-news/anticipate,http://example.org/ai-news/cite,http://example.org/ai-news/cite,0.706
http://example.org/ai-news/anticipate,http://example.org/ai-news/coin,http://example.org/ai-news/anticipate,0.7516
http://example.org/ai-news/anticipate,http://example.org/ai-news/collaborate,http://example.org/ai-news/collaborate,0.7369
http://example.org/ai-news/anticipate,http://example.org/ai-news/come,http://example.org/ai-news/come,0.7745
http://example.org/ai-news/anticipate,http://example.org/ai-news/complain,http://example.org/ai-news/complain,0.7097
http://example.org/ai-news/anticipate,http://example.org/ai-news/conduct,http://example.org/ai-news/conduct,0.7331
http://example.org/ai-news/anticipate,http://example.org/ai-news/consider,http://example.org/ai-news/anticipate,0.7728
http://example.org/ai-news/anticipate,http://example.org/ai-news/cost,http://example.org/ai-news/cost,0.75
http://example.org/ai-news/anticipate,http://example.org/ai-news/create,http://example.org/ai-news/create,0.7429
http://example.org/ai-news/anticipate,http://example.org/ai-news/develop,http://example.org/ai-news/anticipate,0.7346
http://example.org/ai-news/anticipate,http://example.org/ai-news/dig,http://example.org/ai-news/dig,0.7186
http://example.org/ai-news/anticipate,http://example.org/ai-news/do,http://example.org/ai-news/anticipate,0.7161
http://example.org/ai-news/anticipate,http://example.org/ai-news/enable,http://example.org/ai-news/anticipate,0.7356
http://example.org/ai-news/anticipate,http://example.org/ai-news/enter,http://example.org/ai-news/anticipate,0.7181
http://example.org/ai-news/anticipate,http://example.org/ai-news/expect,http://example.org/ai-news/expect,0.701
http://example.org/ai-news/anticipate,http://example.org/ai-news/explain,http://example.org/ai-news/explain,0.7227
http://example.org/ai-news/anticipate,http://example.org/ai-news/explore,http://example.org/ai-news/explore,0.7133
http://example.org/ai-news/anticipate,http://example.org/ai-news/express,http://example.org/ai-news/express,0.725
http://example.org/ai-news/anticipate,http://example.org/ai-news/feature,http://example.org/ai-news/feature,0.7204
http://example.org/ai-news/anticipate,http://example.org/ai-news/find,http://example.org/ai-news/find,0.749
http://example.org/ai-news/anticipate,http://example.org/ai-news/flood,http://example.org/ai-news/flood,0.7274
http://example.org/ai-news/anticipate,http://example.org/ai-news/generate,http://example.org/ai-news/anticipate,0.701
http://example.org/ai-news/anticipate,http://example.org/ai-news/get,http://example.org/ai-news/get,0.718
http://example.org/ai-news/anticipate,http://example.org/ai-news/give,http://example.org/ai-news/give,0.7484
http://example.org/ai-news/anticipate,http://example.org/ai-news/go,http://example.org/ai-news/go,0.7242
http://example.org/ai-news/anticipate,http://example.org/ai-news/guide,http://example.org/ai-news/anticipate,0.7428
http://example.org/ai-news/anticipate,http://example.org/ai-news/halt,http://example.org/ai-news/halt,0.7154
http://example.org/ai-news/anticipate,http://example.org/ai-news/have,http://example.org/ai-news/have,0.7743
http://example.org/ai-news/anticipate,http://example.org/ai-news/incentivize,http://example.org/ai-news/incentivize,0.7275
http://example.org/ai-news/appear,http://example.org/ai-news/ask,http://example.org/ai-news/ask,0.739
http://example.org/ai-news/appear,http://example.org/ai-news/attract,http://example.org/ai-news/attract,0.711
http://example.org/ai-news/appear,http://example.org/ai-news/be,http://example.org/ai-news/be,0.7443
http://example.org/ai-news/appear,http://example.org/ai-news/beat,http://example.org/ai-news/beat,0.7316
http://example.org/ai-news/appear,http://example.org/ai-news/become,http://example.org/ai-news/become,0.7284
http://example.org/ai-news/appear,http://example.org/ai-news/believe,http://example.org/ai-news/believe,0.7288
http://example.org/ai-news/appear,http://example.org/ai-news/call,http://example.org/ai-news/call,0.7656
http://example.org/ai-news/appear,http://example.org/ai-news/carry,http://example.org/ai-news/carry,0.703
http://example.org/ai-news/appear,http://example.org/ai-news/chat,http://example.org/ai-news/appear,0.7743
http://example.org/ai-news/appear,http://example.org/ai-news/cheer,http://example.org/ai-news/cheer,0.7269
http://example.org/ai-news/appear,http://example.org/ai-news/cite,http://example.org/ai-news/cite,0.7171
http://example.org/ai-news/appear,http://example.org/ai-news/collaborate,http://example.org/ai-news/collaborate,0.7333
http://example.org/ai-news/appear,http://example.org/ai-news/come,http://example.org/ai-news/come,0.7172
http://example.org/ai-news/appear,http://example.org/ai-news/complain,http://example.org/ai-news/complain,0.7219
http://example.org/ai-news/appear,http://example.org/ai-news/conduct,http://example.org/ai-news/conduct,0.711
http://example.org/ai-news/appear,http://example.org/ai-news/consider,http://example.org/ai-news/appear,0.7631
http://example.org/ai-news/appear,http://example.org/ai-news/cost,http://example.org/ai-news/cost,0.7009
http://example.org/ai-news/appear,http://example.org/ai-news/create,http://example.org/ai-news/create,0.7703
http://example.org/ai-news/appear,http://example.org/ai-news/develop,http://example.org/ai-news/appear,0.7
http://example.org/ai-news/appear,http://example.org/ai-news/dig,http://example.org/ai-news/dig,0.7633
http://example.org/ai-news/appear,http://example.org/ai-news/discuss,http://example.org/ai-news/discuss,0.7103
http://example.org/ai-news/appear,http://example.org/ai-news/do,http://example.org/ai-news/do,0.7296
http://example.org/ai-news/appear,http://example.org/ai-news/drop,http://example.org/ai-news/drop,0.7249
http://example.org/ai-news/appear,http://example.org/ai-news/enter,http://example.org/ai-news/appear,0.7481
http://example.org/ai-news/appear,http://example.org/ai-news/expect,http://example.org/ai-news/expect,0.7177
http://example.org/ai-news/appear,http://example.org/ai-news/explain,http://example.org/ai-news/explain,0.7394
http://example.org/ai-news/appear,http://example.org/ai-news/explore,http://example.org/ai-news/explore,0.7143
http://example.org/ai-news/appear,http://example.org/ai-news/express,http://example.org/ai-news/express,0.711
http://example.org/ai-news/appear,http://example.org/ai-news/feature,http://example.org/ai-news/feature,0.7382
http://example.org/ai-news/appear,http://example.org/ai-news/find,http://example.org/ai-news/find,0.7387
http://example.org/ai-news/appear,http://example.org/ai-news/flood,http://example.org/ai-news/flood,0.7022
http://example.org/ai-news/appear,http://example.org/ai-news/get,http://example.org/ai-news/get,0.7507
http://example.org/ai-news/appear,http://example.org/ai-news/give,http://example.org/ai-news/give,0.7316
http://example.org/ai-news/appear,http://example.org/ai-news/go,http://example.org/ai-news/go,0.7562
http://example.org/ai-news/appear,http://example.org/ai-news/guide,http://example.org/ai-news/appear,0.7515
http://example.org/ai-news/appear,http://example.org/ai-news/halt,http://example.org/ai-news/halt,0.7327
http://example.org/ai-news/appear,http://example.org/ai-news/have,http://example.org/ai-news/have,0.7344
http://example.org/ai-news/appear,http://example.org/ai-news/hear,http://example.org/ai-news/hear,0.7034
http://example.org/ai-news/ask,http://example.org/ai-news/attract,http://example.org/ai-news/attract,0.7023
http://example.org/ai-news/ask,http://example.org/ai-news/be,http://example.org/ai-news/be,0.758
http://example.org/ai-news/ask,http://example.org/ai-news/beat,http://example.org/ai-news/beat,0.746
http://example.org/ai-news/ask,http://example.org/ai-news/become,http://example.org/ai-news/ask,0.7285
http://example.org/ai-news/ask,http://example.org/ai-news/believe,http://example.org/ai-news/believe,0.7122
http://example.org/ai-news/ask,http://example.org/ai-news/build,http://example.org/ai-news/ask,0.7264
http://example.org/ai-news/ask,http://example.org/ai-news/call,http://example.org/ai-news/call,0.7092
http://example.org/ai-news/ask,http://example.org/ai-news/carry,http://example.org/ai-news/ask,0.7522
http://example.org/ai-news/ask,http://example.org/ai-news/chat,http://example.org/ai-news/ask,0.7136
http://example.org/ai-news/ask,http://example.org/ai-news/cheer,http://example.org/ai-news/ask,0.7179
http://example.org/ai-news/ask,http://example.org/ai-news/collaborate,http://example.org/ai-news/collaborate,0.7038
http://example.org/ai-news/ask,http://example.org/ai-news/come,http://example.org/ai-news/come,0.7029
http://example.org/ai-news/ask,http://example.org/ai-news/complain,http://example.org/ai-news/complain,0.7369
http://example.org/ai-news/ask,http://example.org/ai-news/consider,http://example.org/ai-news/ask,0.7377
http://example.org/ai-news/ask,http://example.org/ai-news/create,http://example.org/ai-news/create,0.739
