predicate,wikidata_property,wikidata_label,alignment_type,source
show,P364,original language of film or TV show,subPropertyOf,sparql_search
spit,P7547,National Health Portal hospital ID,subPropertyOf,sparql_search
spotify,P2205,Spotify album ID,subPropertyOf,sparql_search
spread,,,none,no_match
stand,P503,ISO standard,subPropertyOf,sparql_search
star,P523,temporal range start,subPropertyOf,sparql_search
start,P523,temporal range start,subPropertyOf,sparql_search
stay,,,none,no_match
steer,,,none,no_match
strike,P8331,strike tone,subPropertyOf,sparql_search
sue,P433,issue,subPropertyOf,sparql_search
surpass,,,none,no_match
survey,P4478,Survey of Scottish Witchcraft - Accused witch ID,subPropertyOf,sparql_search
switch,P11072,Nintendo Switch title ID,subPropertyOf,sparql_search
take,P1956,takeoff and landing capability,subPropertyOf,sparql_search
talk,P5030,talk show guest,subPropertyOf,sparql_search
tap,P7474,Online Cenotaph ID,subPropertyOf,sparql_search
tell,P59,constellation,subPropertyOf,sparql_search
test,P541,office contested,subPropertyOf,sparql_search
think,P13614,ThinkyGames genre ID,subPropertyOf,sparql_search
throw,,,none,no_match
train,P834,train depot,subPropertyOf,sparql_search
understand,,,none,no_match
update,P711,"Strunz 8th edition (series ID, updated)",subPropertyOf,sparql_search
upgrade,,,none,no_match
urge,P3187,Marburger Professorenkatalog ID,subPropertyOf,sparql_search
use,P612,mother house,subPropertyOf,sparql_search
warn,,,none,no_match
win,P190,twinned administrative body,subPropertyOf,sparql_search
write,P58,screenwriter,subPropertyOf,sparql_search
writer,P58,screenwriter,subPropertyOf,sparql_search
